iter	Passed	Remaining
0	48	288849
1	104	314297
2	155	310919
3	199	299760
4	248	297964
5	301	300942
6	351	301294
7	400	299865
8	446	297268
9	495	296864
10	542	295562
11	594	296893
12	648	298844
13	702	300562
14	755	301398
15	802	300155
16	848	298563
17	894	297143
18	953	300094
19	1011	302307
20	1067	303864
21	1126	306084
22	1178	306259
23	1234	307441
24	1288	307856
25	1334	306587
26	1384	306196
27	1438	306891
28	1491	307075
29	1543	307071
30	1601	308352
31	1649	307586
32	1704	308207
33	1755	308001
34	1802	307261
35	1851	306700
36	1900	306317
37	1954	306653
38	1997	305334
39	2043	304549
40	2094	304402
41	2144	304275
42	2195	304150
43	2248	304325
44	2292	303408
45	2346	303656
46	2395	303350
47	2442	302849
48	2489	302370
49	2544	302772
50	2597	302996
51	2653	303511
52	2704	303491
53	2758	303693
54	2812	304048
55	2856	303212
56	2907	303173
57	2953	302580
58	3007	302813
59	3062	303190
60	3113	303089
61	3158	302497
62	3211	302679
63	3267	303027
64	3320	303210
65	3373	303278
66	3427	303490
67	3477	303359
68	3530	303500
69	3583	303578
70	3634	303511
71	3690	303886
72	3741	303809
73	3793	303772
74	3839	303319
75	3890	303223
76	3941	303218
77	3989	302925
78	4047	303359
79	4093	302886
80	4145	302893
81	4200	303152
82	4239	302223
83	4287	301974
84	4344	302325
85	4393	302136
86	4439	301723
87	4489	301642
88	4536	301268
89	4589	301396
90	4638	301171
91	4691	301248
92	4743	301257
93	4789	300914
94	4840	300901
95	4890	300741
96	4934	300321
97	4989	300495
98	5039	300362
99	5089	300296
100	5143	300401
101	5203	300879
102	5263	301351
103	5313	301256
104	5369	301481
105	5417	301221
106	5464	300966
107	5511	300698
108	5558	300413
109	5610	300390
110	5663	300487
111	5714	300396
112	5764	300291
113	5813	300151
114	5872	300517
115	5922	300426
116	5970	300218
117	6017	299972
118	6060	299490
119	6105	299169
120	6154	299042
121	6204	298955
122	6249	298588
123	6297	298431
124	6351	298502
125	6399	298324
126	6449	298264
127	6497	298062
128	6547	298003
129	6591	297620
130	6637	297365
131	6688	297356
132	6734	297091
133	6790	297258
134	6837	297049
135	6888	297029
136	6947	297328
137	6993	297062
138	7036	296689
139	7083	296508
140	7137	296599
141	7185	296428
142	7235	296372
143	7285	296271
144	7368	297528
145	7432	298029
146	7479	297813
147	7526	297591
148	7583	297795
149	7626	297440
150	7667	296993
151	7714	296808
152	7758	296488
153	7807	296390
154	7861	296461
155	7909	296317
156	7964	296398
157	8011	296235
158	8059	296086
159	8118	296313
160	8167	296229
161	8214	296022
162	8265	295995
163	8309	295684
164	8355	295464
165	8404	295377
166	8455	295351
167	8506	295297
168	8559	295334
169	8606	295165
170	8659	295197
171	8712	295215
172	8765	295256
173	8819	295298
174	8873	295368
175	8921	295221
176	8974	295249
177	9025	295208
178	9072	295024
179	9127	295114
180	9176	295004
181	9223	294853
182	9270	294674
183	9318	294547
184	9365	294391
185	9412	294231
186	9465	294227
187	9523	294417
188	9579	294517
189	9629	294460
190	9678	294358
191	9730	294353
192	9783	294360
193	9830	294218
194	9883	294231
195	9928	293996
196	9972	293754
197	10020	293631
198	10063	293368
199	10111	293237
200	10156	293025
201	10203	292861
202	10258	292936
203	10309	292918
204	10364	292994
205	10413	292882
206	10460	292753
207	10505	292547
208	10555	292460
209	10600	292281
210	10652	292256
211	10702	292203
212	10757	292257
213	10817	292466
214	10867	292400
215	10924	292529
216	10972	292424
217	11017	292213
218	11063	292056
219	11116	292048
220	11161	291859
221	11212	291837
222	11262	291765
223	11312	291709
224	11356	291475
225	11403	291347
226	11448	291149
227	11498	291099
228	11541	290856
229	11582	290575
230	11635	290584
231	11680	290411
232	11730	290350
233	11781	290309
234	11834	290312
235	11884	290269
236	11941	290363
237	11971	289837
238	12020	289740
239	12068	289635
240	12117	289569
241	12177	289744
242	12227	289695
243	12281	289729
244	12331	289670
245	12383	289650
246	12426	289420
247	12477	289403
248	12528	289358
249	12578	289295
250	12630	289286
251	12679	289220
252	12734	289265
253	12782	289169
254	12829	289047
255	12873	288855
256	12921	288752
257	12970	288665
258	13019	288593
259	13068	288507
260	13116	288407
261	13164	288310
262	13198	287917
263	13248	287847
264	13295	287725
265	13350	287780
266	13397	287668
267	13435	287358
268	13485	287308
269	13534	287223
270	13577	287023
271	13618	286786
272	13669	286749
273	13723	286785
274	13770	286671
275	13817	286562
276	13863	286425
277	13909	286294
278	13951	286088
279	14001	286024
280	14056	286083
281	14105	286003
282	14159	286043
283	14203	285862
284	14245	285662
285	14292	285545
286	14342	285509
287	14394	285488
288	14438	285317
289	14487	285248
290	14546	285382
291	14586	285131
292	14633	285031
293	14686	285031
294	14729	284851
295	14774	284703
296	14823	284639
297	14874	284614
298	14926	284593
299	14981	284644
300	15022	284438
301	15064	284225
302	15108	284073
303	15153	283934
304	15213	284069
305	15266	284068
306	15319	284088
307	15361	283886
308	15415	283920
309	15458	283730
310	15512	283765
311	15551	283508
312	15598	283414
313	15645	283311
314	15691	283196
315	15732	282985
316	15779	282880
317	15833	282907
318	15878	282780
319	15923	282638
320	15970	282540
321	16013	282367
322	16069	282432
323	16114	282305
324	16163	282243
325	16205	282057
326	16256	282027
327	16299	281858
328	16351	281860
329	16405	281871
330	16442	281606
331	16483	281418
332	16530	281311
333	16584	281347
334	16621	281075
335	16668	280977
336	16710	280812
337	16755	280676
338	16809	280707
339	16859	280663
340	16910	280642
341	16962	280624
342	17017	280666
343	17072	280704
344	17165	281363
345	17206	281177
346	17255	281111
347	17296	280917
348	17340	280782
349	17388	280699
350	17439	280670
351	17491	280656
352	17542	280623
353	17585	280467
354	17638	280477
355	17682	280329
356	17733	280301
357	17784	280275
358	17835	280256
359	17879	280109
360	17932	280118
361	17986	280137
362	18036	280083
363	18070	279793
364	18120	279755
365	18168	279683
366	18218	279625
367	18261	279485
368	18311	279435
369	18359	279369
370	18407	279287
371	18459	279280
372	18513	279294
373	18568	279314
374	18620	279306
375	18672	279290
