word_id,morph_count,case_encoded,verb_form,is_inflected
arg_pisacowsmilk_10_page_1_0,5,1,-1,1
arg_pisacowsmilk_10_page_1_1,2,1,-1,0
arg_pisacowsmilk_10_page_1_2,5,1,-1,0
arg_pisacowsmilk_10_page_1_3,0,-1,-1,0
arg_pisacowsmilk_10_page_1_4,5,1,-1,0
arg_pisacowsmilk_10_page_1_5,2,1,-1,0
arg_pisacowsmilk_10_page_1_6,4,-1,-1,1
arg_pisacowsmilk_10_page_1_7,3,-1,-1,1
arg_pisacowsmilk_10_page_1_8,2,-1,-1,0
arg_pisacowsmilk_10_page_1_9,5,1,-1,1
arg_pisacowsmilk_10_page_1_10,4,-1,-1,1
arg_pisacowsmilk_10_page_1_11,1,-1,-1,0
arg_pisacowsmilk_10_page_1_12,2,-1,1,0
arg_pisacowsmilk_10_page_1_13,3,-1,-1,0
arg_pisacowsmilk_10_page_1_14,2,1,-1,0
arg_pisacowsmilk_10_page_1_15,5,1,-1,0
arg_pisacowsmilk_10_page_1_16,5,-1,0,1
arg_pisacowsmilk_10_page_1_17,5,1,-1,0
arg_pisacowsmilk_10_page_1_18,4,-1,-1,0
arg_pisacowsmilk_10_page_1_19,4,-1,0,0
arg_pisacowsmilk_10_page_1_20,1,-1,-1,0
arg_pisacowsmilk_10_page_1_21,3,-1,-1,0
arg_pisacowsmilk_10_page_1_22,3,-1,-1,1
arg_pisacowsmilk_10_page_1_23,0,-1,-1,0
arg_pisacowsmilk_10_page_1_24,0,-1,-1,0
arg_pisacowsmilk_10_page_1_25,1,-1,-1,0
arg_pisacowsmilk_10_page_1_26,0,-1,-1,0
arg_pisacowsmilk_10_page_1_27,5,-1,0,1
arg_pisacowsmilk_10_page_1_28,2,1,-1,0
arg_pisacowsmilk_10_page_1_29,5,1,-1,1
arg_pisacowsmilk_10_page_1_30,5,1,-1,0
arg_pisacowsmilk_10_page_1_31,2,1,-1,0
arg_pisacowsmilk_10_page_1_32,1,-1,-1,1
